Company Name,Website,Location,LinkedIn,Name
Thread,http://www.usethread.io,New York,https://www.linkedin.com/company/thread-incorporated/,Yuheng Wang
Sorted,https://www.sorted.tools,"Copenhagen, Denmark",https://www.linkedin.com/company/sortedtools/,Adam Ingwersen
DAGWorks Inc.,https://www.dagworks.io/,San Francisco,https://www.linkedin.com/company/dagworks-inc/,Stefan Krawczyk
Swishjam,https://swishjam.com,"Los Angeles, CA",https://www.linkedin.com/company/swishjam,Collin Schneider
Invopop,https://www.invopop.com/,"Madrid, Spain",https://www.linkedin.com/company/invopop/,Juan Moliner Malaxechevarría
Turntable,https://www.turntable.so,New York,https://www.linkedin.com/company/turntabledata,Turntable
CorgiAI,https://www.corgiai.net,,https://www.linkedin.com/company/corgiai,CorgiAI
Keep,https://www.keephq.dev,"Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/keepalerting,Tal Borenstein
PlayHT,https://play.ht/,Mountain View,https://www.linkedin.com/company/play-ht/,Senior Machine Learning Engineer/Researcher at PlayHT (YC W23)
Planar,https://www.useplanar.com,New York,https://www.linkedin.com/in/eshanagarwal/,Eshan Agarwal
Pylon,https://www.usepylon.com/,San Francisco,https://www.linkedin.com/company/usepylon/,Pylon
Muffin Data,http://www.muffindata.com,,https://www.linkedin.com/in/andres-s-recalde,Andres Recalde
Peeba,http://peeba.com/,"Hong Kong, Hong Kong",https://www.linkedin.com/company/peeba,Account Executive
inBuild,https://www.inbuild.ai/,"Wilmington, DE",https://www.linkedin.com/company/inbuildai,Performance Marketing Manager
Mantys,https://www.mantys.io/,"Bengaluru, India",https://www.linkedin.com/company/82542033/,Kriti Arora
Coldreach,https://coldreach.ai/,San Francisco,https://www.linkedin.com/company/coldreach/,Xiaohan Shen
MagnaPlay,https://magnaplay.com,"São Paulo, Brazil",https://www.linkedin.com/company/magnaplay/,Pedro Esteves
Onu,https://joinonu.com,New York,https://www.linkedin.com/company/joinonu/,Lindsey Redd
Sirdab,https://sirdab.co/en,"Riyadh, Saudi Arabia",https://www.linkedin.com/company/usesirdab,Software Engineer
Baselit,https://www.baselit.ai,,https://www.linkedin.com/company/baselit/,Sahil Singla
Clueso,https://clueso.io,"Bengaluru, India",https://www.linkedin.com/company/clueso,Akash Anand
Fastgen,https://fastgen.com,New York,https://www.linkedin.com/in/mikemahlkow/,Mike Mahlkow
Defer,https://www.defer.run,"Paris, France",https://www.linkedin.com/company/defer-inc,Charly POLY
Arroyo,https://www.arroyo.dev,"Berkeley, CA",https://www.linkedin.com/in/wylde/,Micah Wylde
Tailorr,https://,"Haifa, Israel",https://www.linkedin.com/in/tal-feld-profile/,Tal Feld
UpTrain AI,https://uptrain.ai/,"Bengaluru, India",https://www.linkedin.com/company/uptrain-ai,Sourabh Agrawal
keyval,https://keyval.dev,,https://www.linkedin.com/company/keyval/,keyval
Waveline,https://waveline.ai/,"Zürich, Switzerland",https://www.linkedin.com/company/waveline-ai,Jan Schnyder
Hona (formerly Milestones),http://hona.com,"American Fork, UT",https://www.linkedin.com/company/honasoftware,Manny Griffiths
Noya Software,https://noya.io,San Francisco,https://www.linkedin.com/company/noya-software,Devin Abbott
Psychic,https://www.psychic.dev,San Francisco,https://www.linkedin.com/company/89833028/,Jason Fan
Honeydew,https://honeydew.ai,"Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/honeydewai/,David Krakov
Sherloq,http://sherloqdata.io/,"Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/sherloqdata/,Noy Twerski
SPRX,https://sprx.tax,,https://www.linkedin.com/company/sprx-technologies/,Dominic Vitucci
SensorSurf,https://www.sensorsurf.com,San Francisco,https://www.linkedin.com/company/sensorsurf/,Alec Bell
Semantic Finance,https://semanticfinance.com,San Francisco,https://www.linkedin.com/in/joshua-ying-7a0032138/,Joshua Ying
Defog.ai,https://defog.ai,"Singapore, Singapore",https://www.linkedin.com/company/defog-ai/,Rishabh Srivastava
Gloo,https://www.trygloo.com/,"Seattle, WA",https://www.linkedin.com/in/vaigup/,Vaibhav Gupta
FiddleCube,https://fiddlecube.ai/,San Francisco,https://www.linkedin.com/company/fiddlecube/,Neha Nupoor
Portalform,https://portalform.com,,https://www.linkedin.com/in/felipearp/,Portalform
Fintool,https://www.fintool.com/,San Francisco,https://www.linkedin.com/company/fintoolx,Nicolas Bustamante
Intrinsic,https://withintrinsic.com,,https://www.linkedin.com/company/intrinsicsecurity,Intrinsic
Ariglad,https://www.ariglad.com/,"Vancouver, Canada",https://www.linkedin.com/company/leaveaspotlight-inc/,Sophie Wyne
Helicone,https://www.helicone.ai/,San Francisco,https://www.linkedin.com/company/92878545,Scott Nguyen
IcePanel,https://icepanel.io,"Vancouver, Canada",https://www.linkedin.com/company/icepanel/,Jacob Shadbolt
Magicflow 𐂂,https://magicflow.ai,"Tel Aviv-Yafo, Israel",https://linkedin.com/in/yardenst,Yarden Shem Tov
1stCollab,https://1stcollab.com/,San Francisco,https://www.linkedin.com/company/1stcollab,Leon Lin
Teclada,https://www.teclada.com/,"Sunnyvale, CA",https://linkedin.com/company/teclada,David Fiala
